Top pages,Clicks,Impressions,CTR,Position
https://windowcleaner.com/products/pulex-buckets-6-gallon,19,6911,0.27%,6.98
https://windowcleaner.com/products/pulex-buckets-6-gallon?variant=43139725230231&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,2,2,100%,3
